id,condition_name,criterior,risk_problems,recommendation,risk_bullets_th,recommendation_bullets_th,risk_bullets_en,recommendation_bullets_en
11,Hazardous_Material_Audit,"hazardous_risk_score < -25 AND hazardous_risk_score > -50 AND hazardous_compliance_index < -10","Moderate hazardous waste increase. Often caused by accumulation or undiscovered stockpiles. Quick audit can identify and properly dispose of backlog. Prevents escalation to crisis.","Conduct one-day hazardous material sweep of facility. Check storage areas, closets, under sinks, labs, maintenance areas. Properly dispose of old/expired materials. Create manifest of current hazardous materials. Update SDS library. Budget: ~$2000-8000 (disposal + consultant if needed), Timeline: 1-2 weeks, Impact: immediate hazardous waste reduction + compliance improvement.","ขยะอันตรายเพิ่มขึ้นปานกลาง|อาจมีวัตถุอันตรายสะสมอยู่|ตรวจสอบเร็วป้องกันปัญหาลุกลาม","ตรวจสอบจุดจัดเก็บวัตถุอันตรายทั้งหมด|กำจัดวัตถุหมดอายุ/ไม่ใช้แล้ว|ทำทะเบียนวัตถุอันตรายปัจจุบัน","Moderate hazardous waste increase|Possible undiscovered stockpiles|Quick audit prevents escalation","Sweep all hazardous material storage areas|Dispose of expired/unused materials|Create current hazardous material inventory"
12,Green_Team_Launch,"zero_waste_progress_score < -15 AND zero_waste_progress_score > -35 AND sustainable_material_flow < -15","Moderate negative trends across multiple metrics. Lack of cross-functional coordination and sustained focus. Green team provides structure, accountability, and grassroots engagement. Quick to launch, high impact.","Form cross-functional green team (operations, facilities, procurement, staff volunteers). Meet monthly. Charter to improve waste metrics and sustainability. Empower to make small changes without lengthy approvals. Report to leadership. Celebrate successes. Budget: ~$1000-3000 (meeting time, supplies), Timeline: 2 weeks to launch, Impact: 10-25% improvement across metrics over 3-6 months.","หลายตัวชี้วัดลดลงเล็กน้อย|ขาดการประสานงานข้ามแผนก|ตั้ง Green Team ช่วยขับเคลื่อนได้","ตั้งทีม Green Team จากหลายแผนก|ให้อำนาจตัดสินใจเรื่องเล็กได้เลย|ประชุมรายเดือนและรายงานผู้บริหาร","Multiple metrics slightly declining|Lack of cross-functional coordination|Green team drives accountability","Form cross-functional green team|Empower team to make small decisions|Meet monthly and report to leadership"
13,Procurement_Packaging_Requirement,"waste_prevention_effectiveness < -100 AND overall_waste_reduction_rate < -150 AND circular_economy_score < -50","Large waste increase likely includes shipping/packaging materials. Procurement drives upstream waste. Simple policy requiring minimal packaging from suppliers can significantly reduce waste at source.","Add packaging requirement to supplier contracts: minimal packaging, recyclable materials, takeback programs. Prioritize suppliers with sustainable packaging. Request bulk shipments vs individual. Eliminate Styrofoam/expanded polystyrene. Budget: ~$0 (policy change), Timeline: 1-2 weeks to implement policy, Impact: 15-30% packaging waste reduction over 3-6 months.","ขยะเพิ่มมากจากบรรจุภัณฑ์|จัดซื้อเป็นต้นเหตุของขยะต้นทาง|เปลี่ยนนโยบายลดขยะได้ทันที","เพิ่มข้อกำหนดบรรจุภัณฑ์ขั้นต่ำในสัญญา Supplier|สั่งซื้อแบบ Bulk แทนรายชิ้น|ห้ามใช้โฟม/EPS","Waste up significantly from packaging|Procurement drives upstream waste|Policy change reduces waste immediately","Add minimal packaging requirement to supplier contracts|Switch to bulk orders instead of individual|Ban Styrofoam/EPS"
14,Contamination_Feedback_Loop,"contamination_risk_index > 0.15 AND recyclable_contamination_alert > 0.05 AND waste_segregation_quality < -0.12","Rising contamination threatening recycling program. People unaware their mistakes. Quick feedback system builds awareness. Visual and timely feedback changes behavior. Low cost, high impact.","Implement contamination tagging: attach rejection tags to contaminated bins explaining issue. Leave contaminated bins visible with signage. Photo documentation of good vs bad examples. Weekly contamination report to departments. Consider 'contamination report card'. Budget: ~$500-2000 (tags, photos, signage), Timeline: 1-2 weeks, Impact: 20-40% contamination reduction in 1-2 months.","ปนเปื้อนเพิ่มจนกระทบโปรแกรมรีไซเคิล|คนไม่รู้ว่าทิ้งผิด|ระบบ Feedback ช่วยแก้ได้เร็ว","ติดป้ายเตือนที่ถังที่ปนเปื้อน|ถ่ายภาพตัวอย่างดี vs ไม่ดี|ส่งรายงานปนเปื้อนรายสัปดาห์","Contamination rising, threatening recycling|People unaware of mistakes|Feedback system fixes it quickly","Tag contaminated bins with rejection notices|Photo examples of good vs bad segregation|Send weekly contamination report to departments"
15,Water_Cooler_Waste_Talks,"waste_segregation_quality < -0.08 AND overall_waste_reduction_rate < -100 AND overall_waste_reduction_rate > -200","Moderate performance decline. Awareness and communication gap. Informal 5-minute 'waste talks' at staff meetings raise awareness quickly. Water cooler conversations spread best practices. Low effort, builds culture.","Add 5-minute waste topic to existing staff meetings. Share performance metrics, tips, success stories. Use visual props (contamination examples). Make it fun, not punitive. Encourage questions and suggestions. Rotate through departments. Budget: ~$500 (materials prep), Timeline: ongoing, start immediately, Impact: 10-20% improvement through increased awareness.","ผลงานลดลงเล็กน้อย|ขาดการสื่อสารเรื่องขยะ|คุย 5 นาทีในที่ประชุมช่วยได้","เพิ่มหัวข้อขยะ 5 นาทีในประชุมทีม|แชร์ตัวเลขผลงานและเคล็ดลับ|ทำให้สนุก ไม่ลงโทษ","Moderate performance decline|Communication gap on waste|5-min talks at meetings help","Add 5-min waste topic to team meetings|Share performance metrics and tips|Keep it fun, not punitive"
16,Right_Sized_Bins,"general_waste_minimization < -70 AND recycling_efficiency_score < -30 AND diversion_rate_improvement < -5","General waste increasing while recycling decreasing. Bin sizing can influence behavior. Small general bins + large recycling bins nudges proper sorting. Quick infrastructure change.","Replace large general waste bins with small ones. Replace small recycling bins with large ones. Capacity constraints on general waste forces attention to segregation. Ensure adequate recycling capacity to avoid frustration. Budget: ~$3000-8000 (bin replacement), Timeline: 2-4 weeks, Impact: 20-35% shift from general to recycling.","ขยะทั่วไปเพิ่มขึ้น รีไซเคิลลดลง|ขนาดถังมีผลต่อพฤติกรรม|ถังเล็กขยะทั่วไป + ถังใหญ่รีไซเคิล = เปลี่ยนพฤติกรรม","เปลี่ยนถังขยะทั่วไปเป็นขนาดเล็ก|เปลี่ยนถังรีไซเคิลเป็นขนาดใหญ่|ตรวจสอบให้ถังรีไซเคิลเพียงพอ","General waste up, recycling down|Bin size influences behavior|Small general + large recycling bins nudge sorting","Replace general bins with smaller ones|Replace recycling bins with larger ones|Ensure recycling capacity is adequate"
17,Single_Material_Focus_Campaign,"recycling_efficiency_score < -40 AND recyclable_recovery_momentum < -50 AND contamination_risk_index < 0.20","Recycling declining but contamination manageable. Attempting too much at once often fails. Focus on single material (e.g., bottles, cans) for 1-2 months. Build success and momentum. High visibility, easy to measure.","Choose one target material (bottles, cans, paper). Run focused 1-2 month campaign with goals, signage, tracking. Make it competitive between areas. Publicize results. Once successful, add next material. Budget: ~$2000-5000 (campaign materials, prizes), Timeline: 1 month campaign, Impact: 30-50% increase in target material recovery.","รีไซเคิลลดลงแต่ปนเปื้อนยังไม่มาก|ทำหลายอย่างพร้อมกันมักล้มเหลว|โฟกัสวัสดุเดียวสร้างผลสำเร็จได้","เลือก 1 วัสดุเป้าหมาย (ขวด กระป๋อง กระดาษ)|จัดแคมเปญ 1-2 เดือนพร้อมติดตามผล|ทำให้เป็นการแข่งขันระหว่างทีม","Recycling down but contamination manageable|Doing too much at once often fails|Focus on one material builds success","Choose one target material (bottles, cans, paper)|Run 1-2 month campaign with tracking|Make it competitive between teams"
18,Desk_Side_Compost_Collection,"organic_diversion_score > 80 AND organic_diversion_score < 180 AND organic_processing_efficiency < -50","Significant organic waste including food from desks (snacks, lunches at desk). Central compost bins miss this stream. Simple desk-side collection can capture. Particularly effective in office environments.","Provide small (1L) compost bins or bags for desk use. Central collection points for dumping. Compostable bags (if needed) or washable bins. Clear guidance on what's compostable. Budget: ~$5-15 per person, Timeline: 3-4 weeks, Impact: 20-40% increase in organic diversion from desk dining.","ขยะอินทรีย์จากโต๊ะทำงาน (ขนม อาหารกลางวัน)|ถังปุ๋ยกลางจับไม่ถึง|ถังเล็กข้างโต๊ะช่วยเก็บได้","แจกถังปุ๋ยขนาดเล็ก 1L สำหรับโต๊ะ|จัดจุดรวมส่วนกลางสำหรับเทถัง|แจกคู่มือว่าอะไรเป็นปุ๋ยได้","Organic waste from desks (snacks, lunches) not captured|Central compost bins miss this stream|Desk-side bins capture it","Provide small 1L compost bins for desks|Set up central collection points|Provide guide on what's compostable"
19,Waste_Station_Attendants_Trial,"contamination_risk_index > 0.20 AND waste_segregation_quality < -0.15 AND recyclable_contamination_alert > 0.06","Serious contamination issues requiring immediate intervention. Temporary station attendants during peak times provide education and enforcement. Expensive but effective rapid intervention. Typically 2-4 week duration.","Station attendants at key waste collection points during high-traffic times (lunch, breaks). Provide guidance on segregation. Monitor contamination. Friendly and educational, not punitive. Typically reduces contamination 50%+ during intervention. Budget: ~$5000-15000 (labor for 2-4 weeks), Timeline: immediate start possible, Impact: 40-60% contamination reduction, 20-30% sustained after removal.","ปนเปื้อนรุนแรง ต้องแก้ทันที|คนดูแลจุดคัดแยกช่วงชั่วโมงเร่งด่วน|ได้ผลเร็ว ลดปนเปื้อน 50%+","วางคนดูแลจุดคัดแยกช่วงพีค (มื้อเที่ยง พักเบรก)|เน้นให้ความรู้ ไม่ลงโทษ|ทำ 2-4 สัปดาห์แล้วประเมินผล","Serious contamination, immediate action needed|Station attendants during peak hours|Effective: 50%+ contamination reduction","Station attendants at peak times (lunch, breaks)|Focus on education, not punishment|Run for 2-4 weeks then evaluate"
20,Bulk_Purchasing_Initiative,"waste_prevention_effectiveness < -80 AND overall_waste_reduction_rate < -120 AND general_waste_minimization < -60","Waste increasing, likely includes single-serve packaging. Bulk purchasing dramatically reduces packaging waste. Often cost-neutral or cost-saving. Quick procurement policy change.","Identify bulk purchasing opportunities: beverages, snacks, supplies, cleaning products. Install dispensers as needed. Calculate packaging reduction and cost savings. Communicate benefits. Budget: ~$2000-8000 (dispensers, initial bulk products), Timeline: 4-6 weeks, Impact: 20-40% packaging waste reduction in targeted categories.","ขยะเพิ่ม น่าจะมีบรรจุภัณฑ์ใช้ครั้งเดียว|ซื้อแบบ Bulk ลดขยะบรรจุภัณฑ์ได้มาก|มักประหยัดเงินหรือเท่าทุน","หาสินค้าที่ซื้อ Bulk ได้ (เครื่องดื่ม ขนม อุปกรณ์)|ติดตั้งเครื่อง Dispenser|คำนวณต้นทุนที่ประหยัดได้","Waste up, likely from single-serve packaging|Bulk purchasing reduces packaging waste|Often cost-neutral or cost-saving","Identify bulk purchasing opportunities (beverages, snacks)|Install dispensers as needed|Calculate cost savings from packaging reduction"
21,Digital_Document_Default,"general_waste_minimization < -40 AND waste_prevention_effectiveness < -60","Paper waste increasing. Cultural default to print everything. Make digital the default for common documents. Printing requires active choice. Behavior change through system design.","Implement digital document management system. Default to email/shared drives vs printing. Digital signatures for approvals. Paperless meeting policy (presentations on screens). Print on demand, not 'just in case'. Budget: ~$0-5000 (may leverage existing systems), Timeline: 2-4 weeks to implement policy, Impact: 30-50% paper waste reduction.","ขยะกระดาษเพิ่ม เพราะพิมพ์เอกสารเป็นค่าเริ่มต้น|เปลี่ยนเป็นดิจิทัลเป็นค่าเริ่มต้น|ลดกระดาษ 30-50% ด้วยการเปลี่ยนระบบ","ใช้ระบบเอกสารดิจิทัลเป็นหลัก|ลายเซ็นดิจิทัลแทนกระดาษ|นโยบายประชุมไม่พิมพ์เอกสาร","Paper waste up, print-first culture|Make digital the default|30-50% paper reduction by changing systems","Default to digital document management|Use digital signatures|Implement paperless meeting policy"
22,Hazardous_Consolidation_Point,"hazardous_risk_score < -30 AND special_waste_handling_score < -25 AND hazardous_compliance_index < -10","Hazardous waste scattered across facility. Consolidation improves compliance and reduces risk. Single collection point enables proper storage and scheduled pickup. Quick infrastructure improvement.","Designate single secure hazardous waste collection point. Proper storage cabinet/area with secondary containment. Clear labeling and procedures. Scheduled regular pickup. Train all staff on location and use. Budget: ~$3000-10000 (storage cabinet, signage, training), Timeline: 3-4 weeks, Impact: immediate compliance improvement, 20-30% hazardous waste reduction through better management.","ขยะอันตรายกระจายหลายจุด|รวมจุดเดียวช่วยควบคุมและลดเสี่ยง|ปรับปรุงโครงสร้างได้เร็ว","กำหนดจุดรวบรวมขยะอันตรายที่ปลอดภัย|ติดป้ายและขั้นตอนชัดเจน|นัดรับขยะอันตรายเป็นประจำ","Hazardous waste scattered across facility|Consolidation improves compliance and reduces risk|Quick infrastructure improvement","Designate single secure hazardous collection point|Clear labeling and procedures|Schedule regular hazardous waste pickup"
23,Reusable_Container_Program,"waste_prevention_effectiveness < -70 AND organic_diversion_score > 50 AND circular_economy_score < -40","Disposable food container waste increasing. Cafeteria or food service operation. Reusable containers eliminate waste at source. Quick pilot with high visibility. Often cost-positive through reduced disposable purchases.","Provide reusable plates, bowls, utensils in cafeteria. Dishwashing arrangement (on-site or service). Deposit system if needed. Eliminate or charge premium for disposables. Calculate disposables cost savings. Budget: ~$5000-20000 (containers, dishwashing setup), Timeline: 6-8 weeks, Impact: 50-80% food service disposable elimination.","ขยะบรรจุภัณฑ์อาหารใช้แล้วทิ้งเพิ่ม|ภาชนะใช้ซ้ำลดขยะจากต้นทาง|มักคุ้มทุนจากลดค่าภาชนะใช้แล้วทิ้ง","จัดหาจาน ชาม ช้อนใช้ซ้ำในโรงอาหาร|จัดระบบล้างจาน|เก็บค่ามัดจำหรือเก็บเงินเพิ่มสำหรับใช้แล้วทิ้ง","Disposable food container waste increasing|Reusable containers eliminate waste at source|Often cost-positive from reduced disposable purchases","Provide reusable plates, bowls, utensils|Set up dishwashing system|Charge deposit or premium for disposables"
24,Landscape_Waste_On_Site_Mulching,"organic_diversion_score > 100 AND construction_volume_impact < 0 AND organic_processing_efficiency < -60","Significant landscaping waste hauled away. On-site mulching eliminates hauling costs and provides valuable mulch for landscaping use. Quick ROI on chipper/mower if volume sufficient.","Evaluate landscape waste volume and mulching equipment ROI. Chip woody waste on-site. Mulch-mow grass clippings. Use mulch in landscaping (free, no hauling). Consider small chipper ($2-5K) or mulching mowers ($500-2K). Budget: ~$2000-8000 (equipment), Timeline: immediate, Impact: 60-100% landscape waste diversion + cost savings + better landscaping.","ขยะจากภูมิทัศน์ถูกขนทิ้งข้างนอก|สับเป็น Mulch ใช้ในสวนได้เลย|อุปกรณ์คืนทุนเร็ว","ประเมินปริมาณขยะภูมิทัศน์และ ROI เครื่องสับ|สับกิ่งไม้เป็น Mulch ใช้ในสวน|ตัดหญ้าแบบ Mulch-Mow ไม่ต้องเก็บ","Landscape waste being hauled off-site|On-site mulching eliminates hauling costs|Quick equipment ROI","Evaluate landscape waste volume and chipper ROI|Chip woody waste on-site for mulch|Use mulch-mowing for grass clippings"
25,Energy_Recovery_Vendor_Partnership,"energy_recovery_optimization < -40 AND waste_to_energy_conversion_rate < -8 AND organic_diversion_score > 80","Organic and combustible waste increasing. Waste-to-energy available but underutilized. Often knowledge gap about what's acceptable. Quick vendor partnership and education can optimize.","Meet with waste-to-energy facility to understand acceptable materials. Train staff on energy recovery stream. Add energy recovery bins if needed. Optimize collection schedule. Calculate cost comparison vs landfill. Budget: ~$1000-3000 (bins, training), Timeline: 3-4 weeks, Impact: 30-50% increase in energy recovery, cost neutral or positive.","ขยะเผาได้เพิ่มแต่ไม่ส่ง Waste-to-Energy|มักไม่รู้ว่าวัสดุอะไรส่งได้|ร่วมมือกับโรงไฟฟ้าขยะช่วยได้","ประชุมกับโรงไฟฟ้าขยะเพื่อเข้าใจข้อกำหนด|อบรมพนักงานเรื่องวัสดุที่ส่งได้|เปรียบเทียบต้นทุน Energy Recovery vs ฝังกลบ","Combustible waste up but not sent to energy recovery|Knowledge gap on acceptable materials|Vendor partnership can optimize","Meet with waste-to-energy facility on specs|Train staff on energy-recoverable materials|Compare energy recovery costs vs landfill"
