id,condition_name,condition_name_en,condition_name_th,criterior,risk_problems,recommendation,risk_bullets_th,recommendation_bullets_th,risk_bullets_en,recommendation_bullets_en
11,Landfill_Dependency_Increasing,Landfill Dependency Increasing,พึ่งพาการฝังกลบมากขึ้น,landfill_diversion_success < -150 AND overall_waste_reduction_rate < -100,Landfilled waste increasing significantly. Failed diversion programs. Growing dependency on landfills increases cost risk (rising disposal fees) and environmental impact. May conflict with corporate sustainability commitments or regulatory requirements.,"Develop comprehensive diversion strategy addressing all waste streams. Assess current infrastructure gaps (composting, recycling, energy recovery access). Establish vendor relationships for specialized waste streams. Set aggressive diversion targets with accountability. Consider waste-to-energy or advanced recycling technologies.",พึ่งพาการฝังกลบมากขึ้น|ค่าธรรมเนียมฝังกลบมีแนวโน้มสูงขึ้น|ไม่เป็นไปตามเป้า Sustainability,วางแผน Diversion ครอบคลุมทุกประเภทขยะ|หาพันธมิตรรีไซเคิลและทำปุ๋ย|พิจารณา Waste-to-Energy,Increasing landfill dependency|Landfill fees trending upward|Not meeting sustainability targets,Plan diversion for all waste types|Find recycling and composting partners|Consider waste-to-energy options
12,Multi_Category_Degradation,Multi Category Degradation,หลายหมวดหมู่เสื่อมถอยพร้อมกัน,total_environmental_impact_score < -60 AND sustainable_material_flow < -40,"Environmental impact deteriorating across multiple waste categories. Sustainable material flow declining significantly. Systemic failure in waste management program. High risk of regulatory non-compliance, reputational damage, and cost escalation.",Declare waste management emergency requiring executive attention. Conduct third-party waste management system audit. Allocate emergency resources and staffing for program rebuild. Establish waste management steering committee with executive sponsor. Consider external waste management consulting support for system redesign.,ผลกระทบสิ่งแวดล้อมแย่ลงหลายหมวด|ระบบจัดการขยะล้มเหลวเชิงระบบ|เสี่ยงไม่ผ่านข้อกำหนดกฎหมาย,แจ้งผู้บริหารระดับสูงทันที|จ้างผู้เชี่ยวชาญตรวจสอบระบบ|จัดตั้งคณะกรรมการจัดการขยะ,Environmental impact worsening across categories|Systemic waste management failure|Risk of regulatory non-compliance,Escalate to senior management immediately|Engage experts for system audit|Establish waste management committee
13,Recyclable_Recovery_Collapse,Recyclable Recovery Collapse,การกู้คืนรีไซเคิลล้มเหลว,recyclable_recovery_momentum < -100 AND circular_economy_score < -80,"Recyclable collection declining >50kg while non-recyclable waste increasing. Circular economy metrics failing. Indicates reversed progress on material recovery. Lost revenue, increased costs, and failure to meet sustainability goals.","Investigate systemic barriers to recycling (access, convenience, knowledge). Expand recycling infrastructure to high-traffic areas. Implement 'make recycling easy' principles. Partner with recycling vendor for staff education. Consider deposit/rebate programs for high-value recyclables. Publicize recycling success stories to rebuild momentum.",การเก็บวัสดุรีไซเคิลลดลงอย่างรวดเร็ว|สูญเสียรายได้และต้นทุนเพิ่ม|เป้าหมาย Circular Economy ไม่เป็นไปตามแผน,หาอุปสรรคหลักที่ทำให้รีไซเคิลลดลง|เพิ่มจุดรวบรวมในพื้นที่คนเยอะ|สื่อสารผลสำเร็จเพื่อสร้างแรงจูงใจ,Recyclable collection declining rapidly|Lost revenue and rising costs|Circular economy goals off track,Identify main barriers to recycling|Add collection points in high-traffic areas|Share success stories to motivate
14,Energy_Recovery_Underutilization,Energy Recovery Underutilization,ใช้ประโยชน์พลังงานจากขยะไม่เต็มที่,energy_recovery_optimization < -50 AND organic_to_energy_conversion_rate < -10,Waste-to-energy utilization declining while suitable feedstock (organic) increasing. Missed opportunity to offset energy costs and reduce landfill dependency. May indicate infrastructure access issues or operational knowledge gaps.,Assess waste-to-energy facility access and capacity. Evaluate if organics meeting feedstock specifications. Optimize collection and transportation logistics. Calculate ROI of dedicated organic-to-energy stream. Partner with energy recovery facilities for technical guidance on feedstock preparation.,ใช้ระบบ Waste-to-Energy ไม่เต็มประสิทธิภาพ|ขยะอินทรีย์เพิ่มแต่ไม่ส่งแปลงพลังงาน|เสียโอกาสลดค่าพลังงานและค่าฝังกลบ,ประเมินศักยภาพโรงไฟฟ้าขยะในพื้นที่|ปรับปรุงการคัดแยกวัตถุดิบให้ตรงข้อกำหนด|คำนวณ ROI ของช่องทาง Energy Recovery,Waste-to-energy underutilized|Organic waste up but not sent for energy recovery|Missed opportunity to cut energy and landfill costs,Assess local waste-to-energy capacity|Improve feedstock segregation to meet specs|Calculate energy recovery ROI
15,Special_Waste_Crisis,Special Waste Crisis,วิกฤตขยะพิเศษ,special_waste_handling_score < -60 AND hazardous_compliance_index < -25,"Multiple special waste categories (hazardous, e-waste, bio-hazardous) increasing significantly. Compliance risk extremely high. Potential for serious incidents, regulatory violations, and operational liability. Requires immediate executive attention.","Emergency convening of safety, operations, and environmental leadership. Immediate third-party compliance audit. Engage specialized hazardous waste consultants. Review all permits and ensure regulatory compliance. Implement enhanced training and certification programs for staff handling special waste. Consider dedicated special waste coordinator role.",ขยะพิเศษหลายประเภทเพิ่มขึ้นพร้อมกัน|เสี่ยงผิดกฎหมายอย่างรุนแรง|อาจเกิดอุบัติเหตุร้ายแรง,ประชุมด่วนทีมความปลอดภัย|ตรวจสอบใบอนุญาตทั้งหมด|จ้างผู้เชี่ยวชาญขยะอันตราย,Multiple special waste types increasing|Severe compliance risk|Potential for serious incidents,Emergency safety team meeting|Review all permits|Engage hazardous waste specialists
16,Segregation_System_Breakdown,Segregation System Breakdown,ระบบคัดแยกล้มเหลว,waste_segregation_quality < -0.20 AND contamination_risk_index > 0.35,Waste segregation quality catastrophically declining (>20 percentage points). High contamination across streams. Fundamental failure of waste management infrastructure or user behavior. Risk of complete recycling program failure and contractor rejection.,"Complete reset of segregation system required. Conduct user research to understand barriers. Redesign bin infrastructure for intuitive use (color coding, size, placement). Implement 'closed loop' feedback showing contamination impacts. Station monitors during transition period. Consider phased rollout by building/area with intensive support.",ระบบคัดแยกขยะล้มเหลวทั้งระบบ|ปนเปื้อนสูงทุกช่องทาง|ผู้รับซื้ออาจยกเลิกสัญญา,ออกแบบจุดคัดแยกใหม่ให้ใช้ง่าย|ใช้สีและป้ายภาพที่เข้าใจได้ทันที|วางคนดูแลช่วงเปลี่ยนผ่าน,Segregation system completely failing|High contamination across all streams|Buyers may cancel contracts,Redesign segregation stations for ease of use|Use color coding and visual signage|Station monitors during transition
17,Construction_Impact_Uncontrolled,Construction Impact Uncontrolled,ผลกระทบจากขยะก่อสร้างไม่สามารถควบคุมได้,construction_volume_impact < -400 AND construction_recycling_rate < -15,"Major construction waste increase (>300kg) with declining recycling rate. Uncontrolled construction waste generation. High disposal costs, potential permit violations, and missed material recovery value (metals, concrete, wood).","Mandate pre-project waste management plans with diversion targets. Require contractor waste tracking and reporting. Establish approved hauler list for construction recycling. Create economic incentives for diversion (charge back disposal, reward recycling). Consider LEED or green building requirements for all projects.",ขยะก่อสร้างเพิ่มขึ้นมากโดยไม่ควบคุม|อัตรารีไซเคิลวัสดุก่อสร้างลดลง|สูญเสียมูลค่าเหล็ก คอนกรีต ไม้,บังคับทำแผนจัดการขยะก่อนเริ่มงาน|กำหนดเป้า Diversion ให้ผู้รับเหมา|หาผู้รับซื้อวัสดุก่อสร้างรีไซเคิล,"Construction waste surging uncontrolled|Construction recycling rate declining|Lost value from metals, concrete, wood",Mandate waste plan before construction starts|Set diversion targets for contractors|Find construction material recyclers
18,Organic_Methane_Risk,Organic Methane Risk,ความเสี่ยงก๊าซมีเทนจากขยะอินทรีย์,organic_diversion_score > 200 AND overall_waste_reduction_rate < -150,"Organic waste surging >150kg without diversion infrastructure. If landfilled, generates potent methane greenhouse gas. Missed compost/energy value. Indicates food service, landscaping, or packaging changes without waste planning.","Immediately segregate organics from general waste to prevent methane generation. Emergency partnership with composting or anaerobic digestion facility. Source reduction focus: food waste prevention, menu planning, portion control if cafeteria. Consider on-site dehydration or grinding to reduce volume and improve handling. Evaluate packaging alternatives.",ขยะอินทรีย์พุ่งสูง เสี่ยงปล่อยก๊าซมีเทน|ไม่มีระบบรองรับ (ปุ๋ย/พลังงาน)|เสียทรัพยากรที่มีมูลค่า,คัดแยกขยะอินทรีย์ออกจากขยะทั่วไปทันที|หาพันธมิตรทำปุ๋ยหมักหรือ Biogas|ลดอาหารเหลือจากต้นทาง,"Organic waste surging, methane emission risk|No composting/energy infrastructure|Valuable resources wasted",Segregate organic waste from general immediately|Find composting or biogas partners|Reduce food waste at source
19,Total_Volume_Explosion,Total Volume Explosion,ปริมาณขยะรวมพุ่งสูง,overall_waste_reduction_rate < -300 AND waste_intensity_improvement < -25,"Catastrophic increase in total waste generation (>300kg). Waste intensity deteriorating >25%. Crisis-level situation indicating major operational changes without waste management consideration. Extreme cost, environmental, and compliance risks.",Immediate investigation required - identify operational or business changes causing waste surge. Executive briefing on magnitude and implications. Allocate emergency budget for waste management intervention. Fast-track implementation of all feasible reduction measures. Consider if temporary surge (project-based) or permanent shift requiring new infrastructure and processes. May require capital investment in waste handling equipment.,ขยะรวมเพิ่มขึ้นระดับวิกฤต|ค่าใช้จ่ายและผลกระทบสิ่งแวดล้อมรุนแรง|อาจเกิดจากการเปลี่ยนแปลงการดำเนินงาน,สอบสวนหาสาเหตุของขยะที่เพิ่มขึ้นทันที|แจ้งผู้บริหารและจัดงบฉุกเฉิน|ดำเนินมาตรการลดขยะทุกทางที่ทำได้,Total waste at crisis level|Severe cost and environmental impact|Likely caused by operational changes,Investigate waste surge cause immediately|Brief management and allocate emergency budget|Implement all feasible reduction measures
20,Gradual_Multi_Metric_Decline,Gradual Multi Metric Decline,ตัวชี้วัดหลายตัวลดลงอย่างค่อยเป็นค่อยไป,zero_waste_progress_score < -30 AND sustainable_material_flow < -25 AND diversion_rate_improvement < -5,"Multiple metrics showing moderate but consistent negative trends. 'Death by a thousand cuts' scenario. May not trigger individual alarms but indicates systemic degradation. Often caused by leadership attention shift, staff turnover, or program funding cuts.","Re-establish waste management program visibility and priority. Refresh training programs for new staff. Audit infrastructure for maintenance needs (broken bins, missing signage). Reinvigorate waste reduction champions network. Communicate waste performance trends to build urgency. Reconnect waste management to organizational values and sustainability commitments.",ตัวชี้วัดหลายตัวค่อยๆ แย่ลง|อาจไม่เห็นชัดแต่สะสมเป็นปัญหาใหญ่|มักเกิดจากขาดความต่อเนื่องในการดูแล,ฟื้นโปรแกรมจัดการขยะให้กลับมามีน้ำหนัก|อบรมพนักงานใหม่และทบทวนพนักงานเดิม|ตรวจสอบถังขยะ ป้าย และอุปกรณ์ให้พร้อมใช้,Multiple metrics gradually declining|Not obvious but accumulating into major issues|Often caused by lack of program continuity,"Revive waste management program priority|Train new staff and refresh existing staff|Inspect bins, signage, and equipment"
